DATE,STATION_ID,NAME,COUNTRY,YEAR,MONTH,TMAX,BASELINE,ZSCORE,EVENT_TYPE,SEVERITY
2006-06-17,IDM00097320,ALOR/MALI/KALABAHI,Indonesia,2006,6,27.4,31.427777777777802,-5.307280960281103,Cold Snap,5.31
2004-03-05,IDM00096179,DABO,Indonesia,2004,3,39.2,31.863461538461525,5.30383793034422,Heatwave,5.3
2011-03-30,TH000048569,HAT YAI,Thailand,2011,3,26.2,34.457081545064376,-5.29872216002111,Cold Snap,5.3
2006-04-29,TH000048300,MAE HONG SON,Thailand,2006,4,26.1,39.05470588235294,-5.301908965834017,Cold Snap,5.3
2005-12-27,IDM00097028,TOLI-TOLI/LALOS,Indonesia,2005,12,25.2,31.365586034912713,-5.302442203845419,Cold Snap,5.3
2022-10-15,TH000048405,ROI ET,Thailand,2022,10,22.8,31.92989323843416,-5.302145972828221,Cold Snap,5.3
2005-04-04,TH000048351,UTTARADIT,Thailand,2005,4,26.3,38.06208897485496,-5.298298130425459,Cold Snap,5.3
2021-04-04,IDM00097320,ALOR/MALI/KALABAHI,Indonesia,2021,4,27.6,31.96371308016879,-5.293130128904995,Cold Snap,5.29
2022-05-25,IDM00096035,POLONIA,Indonesia,2022,5,26.0,33.00843989769821,-5.278650935555204,Cold Snap,5.28
2015-01-11,TH000048400,NAKHON SAWAN,Thailand,2015,1,20.8,32.813057851239655,-5.277048301543899,Cold Snap,5.28
2020-07-14,IDM00096221,SULTAN MAHMUD BADARUDDIN II,Indonesia,2020,7,26.4,32.35725000000004,-5.281677815767363,Cold Snap,5.28
2012-03-12,IDM00097406,GALELA/GAMARMALAMU,Indonesia,2012,3,25.4,31.8137724550898,-5.265273342901651,Cold Snap,5.27
2021-07-25,IDM00097698,JAYAPURA/DOK II,Indonesia,2021,7,25.6,31.58699690402477,-5.274016680007675,Cold Snap,5.27
2013-02-26,IDM00096009,MALIKUS SALEH,Indonesia,2013,2,26.2,30.92243713733076,-5.274993334543138,Cold Snap,5.27
2001-03-11,TH000048351,UTTARADIT,Thailand,2001,3,26.0,36.5702752293578,-5.268796684215808,Cold Snap,5.27
2001-03-13,TH000048480,CHANTHABURI,Thailand,2001,3,27.0,33.53192982456138,-5.25525267517612,Cold Snap,5.26
2006-02-13,TH000048425,SUPHAN BURI,Thailand,2006,2,24.8,34.3333962264151,-5.260181320328594,Cold Snap,5.26
2011-03-29,TH000048480,CHANTHABURI,Thailand,2011,3,27.0,33.53192982456138,-5.25525267517612,Cold Snap,5.26
2017-01-05,TH000048330,PHRAE,Thailand,2017,1,21.1,31.3066496163683,-5.255614902930519,Cold Snap,5.26
2008-08-24,IDM00096249,H AS HANANDJOEDDIN,Indonesia,2008,8,25.0,32.43096646942801,-5.262282432865024,Cold Snap,5.26
2017-12-27,THM00048453,BANG NA AGROMET,Thailand,2017,12,21.7,32.08302387267905,-5.24886595555771,Cold Snap,5.25
2006-05-22,TH000048569,HAT YAI,Thailand,2006,5,26.0,34.416135881104026,-5.249847044318072,Cold Snap,5.25
2007-10-27,IDM00097600,SANANA,Indonesia,2007,10,27.8,32.30621118012423,-5.247188177777746,Cold Snap,5.25
2018-06-28,IDM00097096,KASIGUNCU,Indonesia,2018,6,27.2,32.24915254237286,-5.251129272833806,Cold Snap,5.25
2000-02-05,IDM00096581,SUPADIO,Indonesia,2000,2,26.0,32.493750000000006,-5.240999925796027,Cold Snap,5.24
2022-06-12,VMM00048826,PHU LIEN,Vietnam,2022,6,44.2,32.72184873949582,5.236232885374529,Heatwave,5.24
2019-08-11,ID000097900,SAUMLAKI/OLILIT,Indonesia,2019,8,33.0,29.247505422993505,5.237718307218463,Heatwave,5.24
2011-03-25,TH000048552,NAKHON SI THAMMARAT,Thailand,2011,3,25.5,32.82524271844656,-5.24019506655561,Cold Snap,5.24
2000-03-28,TH000048552,NAKHON SI THAMMARAT,Thailand,2000,3,25.5,32.82524271844656,-5.24019506655561,Cold Snap,5.24
2001-11-15,TH000048430,PRACHIN BURI,Thailand,2001,11,24.6,33.542372881355966,-5.241239350282798,Cold Snap,5.24
2017-07-16,IDM00096237,PANGKALPINANG,Indonesia,2017,7,25.9,31.545238095238084,-5.225157727902746,Cold Snap,5.23
2010-08-07,ID000097014,MENADO/ SAM RATULAN,Indonesia,2010,8,26.8,32.66112956810632,-5.23040560229872,Cold Snap,5.23
2017-12-27,TH000048400,NAKHON SAWAN,Thailand,2017,12,20.7,32.11145299145299,-5.227692316555697,Cold Snap,5.23
2002-11-25,BMM00048097,YANGON INTL,Myanmar,2002,11,26.0,33.963033175355456,-5.2304960508304115,Cold Snap,5.23
2016-09-30,IDM00096737,SERANG,Indonesia,2016,9,27.4,33.24405286343612,-5.224363626557004,Cold Snap,5.22
2007-07-23,IDM00096009,MALIKUS SALEH,Indonesia,2007,7,26.4,32.0591575091575,-5.221629255237905,Cold Snap,5.22
2001-03-11,TH000048328,LAMPANG,Thailand,2001,3,23.4,37.26229050279331,-5.216913220068031,Cold Snap,5.22
2001-11-28,IDM00097378,ROTE/BAA/LEKUNIK,Indonesia,2001,11,27.8,33.953392330383515,-5.222666433483041,Cold Snap,5.22
2016-10-23,IDM00096737,SERANG,Indonesia,2016,10,26.0,33.42360801781738,-5.223261940551634,Cold Snap,5.22
2011-03-17,THW00041018,UDON THANI,Thailand,2011,3,17.4,35.46584158415842,-5.220879542514369,Cold Snap,5.22
2005-03-05,LAM00048955,PAKSE,Laos,2005,3,26.1,35.400826446280966,-5.219733181960098,Cold Snap,5.22
2003-10-24,TH000048477,SATTAHIP,Thailand,2003,10,26.5,33.03303571428569,-5.210956895045446,Cold Snap,5.21
2001-03-11,TH000048375,MAE SOT,Thailand,2001,3,27.9,36.48049242424242,-5.20819686607049,Cold Snap,5.21
2008-11-26,IDM00096253,FATMAWATI SOEKARNO,Indonesia,2008,11,25.0,31.103980099502483,-5.2063480724817515,Cold Snap,5.21
2015-08-07,TH000048569,HAT YAI,Thailand,2015,8,25.6,33.59367945823928,-5.2146965578192805,Cold Snap,5.21
2021-05-07,IDM00097182,UJANG PANDANG/PAOTERE,Indonesia,2021,5,28.3,32.84781553398058,-5.20980143966512,Cold Snap,5.21
2004-04-08,IDM00096559,SUSILO,Indonesia,2004,4,25.5,33.178457446808466,-5.198805129229158,Cold Snap,5.2
2017-07-15,IDM00096295,RADIN INTEN II,Indonesia,2017,7,26.2,31.98886255924168,-5.195976519033439,Cold Snap,5.2
2000-04-20,RPM00098328,BAGUIO,Philippines,2000,4,34.0,25.520279720279742,5.198386386035837,Heatwave,5.2
2007-08-19,IDM00097270,MUHAMMAD SALAHUDDIN,Indonesia,2007,8,27.0,32.64896810506564,-5.198343037291835,Cold Snap,5.2
2004-05-30,IDM00097260,SUMBAWA BESAR,Indonesia,2004,5,27.8,33.11369565217391,-5.187930832894345,Cold Snap,5.19
2021-04-03,ID000097372,KUPANG/ELTARI,Indonesia,2021,4,25.6,32.81271393643031,-5.191845247864987,Cold Snap,5.19
2022-04-07,RPM00098446,VIRAC,Philippines,2022,4,26.4,31.30944206008583,-5.188173496047688,Cold Snap,5.19
2021-08-22,IDM00096645,ISKANDAR,Indonesia,2021,8,25.8,32.11050119331744,-5.181199383605003,Cold Snap,5.18
2016-02-08,THM00048453,BANG NA AGROMET,Thailand,2016,2,26.4,33.465775401069536,-5.183336762115346,Cold Snap,5.18
2021-03-28,IDM00097406,GALELA/GAMARMALAMU,Indonesia,2021,3,25.5,31.8137724550898,-5.183180107137988,Cold Snap,5.18
2011-03-30,TH000048564,PHUKET,Thailand,2011,3,26.3,34.55492662473795,-5.17656065235588,Cold Snap,5.18
2014-11-06,TH000048325,MAE SARIANG,Thailand,2014,11,24.6,33.04596153846154,-5.174595550338846,Cold Snap,5.17
2008-01-31,BMM00048008,MYITKYINA,Myanmar,2008,1,15.2,26.149440715883685,-5.172791360693055,Cold Snap,5.17
2005-04-08,IDM00097630,FAK-FAK/TOREA,Indonesia,2005,4,24.8,30.103488372093064,-5.1704273368352975,Cold Snap,5.17
2000-08-23,TH000048432,SURIN,Thailand,2000,8,23.5,32.65215827338128,-5.167015589197212,Cold Snap,5.17
2023-02-06,MYM00048647,SULTAN ABDUL AZIZ SHAH INTL,Malaysia,2023,2,26.2,33.53212851405625,-5.1745766842925995,Cold Snap,5.17
2016-05-15,IDM00096695,KOTABARU/SETAGEN,Indonesia,2016,5,38.4,31.955655296229768,5.164505756683756,Heatwave,5.16
2008-03-06,RPM00098644,TAGBILARAN,Philippines,2008,3,24.8,32.02735426008969,-5.1641538647406895,Cold Snap,5.16
2004-05-29,ID000096163,PADANG/TABING,Indonesia,2004,5,27.2,31.70892388451443,-5.151531914670586,Cold Snap,5.15
2000-08-21,TH000048567,TRANG,Thailand,2000,8,24.5,32.91875000000002,-5.148400393970436,Cold Snap,5.15
2004-05-27,ID000096805,CILACAP,Indonesia,2004,5,27.0,31.396255506607925,-5.153900506123852,Cold Snap,5.15
2009-10-05,ID000096163,PADANG/TABING,Indonesia,2009,10,36.8,30.79556135770233,5.152025096625177,Heatwave,5.15
2022-12-11,IDM00096033,MEDAN/BELAWAN,Indonesia,2022,12,24.3,30.36363636363638,-5.1516046980149826,Cold Snap,5.15
2011-03-30,TH000048430,PRACHIN BURI,Thailand,2011,3,26.7,36.40633561643834,-5.145480004064464,Cold Snap,5.15
2009-05-02,RP000098444,LEGASPI,Philippines,2009,5,25.6,32.732997987927554,-5.148071338182153,Cold Snap,5.15
